algorithm,seed,run_idx,obstacle_geometry,P_or_library_size,collision,infeasible,certificate_lost,qp_infeasible,runtime_error,reached_goal,survived_horizon,task_completed,completed_or_survived,filter_failure,union_failure,total_steps,timed_steps,mean_compute_ms,median_compute_ms,p95_compute_ms,max_compute_ms,nominal_tracking_fraction,mean_intervention_l2,max_intervention_l2,policy_switch_count,selected_policy_histogram,num_candidate_qps_solved,num_steps_with_no_safe_policy,num_feasible_backup_candidates_per_step,num_certified_backup_candidates_per_step,terminal_failure_count,num_rollout_safe_candidates_per_step,num_qp_feasible_candidates_per_step,certificate_loss_steps,qp_infeasible_steps,fallback_steps,candidate_qp_failure_count
plcbf,7,30,"[[81.73473749335818, ""middle""]]",4,True,False,True,False,False,False,False,False,False,True,True,161,156,14.866478609828613,14.349312637932599,16.515771276317537,41.67483281344175,0.5962732919254659,587.0027439510128,5720.757668642209,5,"{""lane_change_left"": 92, ""lane_change_right"": 8, ""nominal"": 26, ""stop"": 35}",0,0,[],[],0,[],[],53,0,53,0
plcbf,7,31,"[[82.0609895331141, ""middle""], [79.39183206253658, ""right""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.741129245270383,14.361041132360697,15.1762830093503,66.94995914585888,0.7821428571428571,298.9512677988559,7200.754092543024,4,"{""lane_change_left"": 233, ""stop"": 47}",0,0,[],[],0,[],[],32,0,32,0
plcbf,7,32,"[[79.02071546326172, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.302216664125973,14.224958140403032,14.964112476445735,67.57437507621944,0.9357142857142857,28.709501924649047,7998.0113522491665,3,"{""lane_change_left"": 210, ""lane_change_right"": 69, ""stop"": 1}",0,0,[],[],0,[],[],1,0,1,0
plcbf,7,33,"[[79.54705620617032, ""middle""], [80.53096573514307, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.584096228195863,14.406082918867469,15.29230885207653,63.39854188263416,0.7714285714285715,328.1000630283097,5759.427615356469,11,"{""lane_change_left"": 203, ""lane_change_right"": 29, ""nominal"": 16, ""stop"": 32}",0,0,[],[],0,[],[],32,0,32,0
plcbf,7,34,"[[81.51384779146517, ""middle""], [82.51384779146517, ""right""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.272398961369287,14.415458077564836,15.111429360695183,46.393875032663345,0.75,336.0719006603713,5903.871042366606,4,"{""lane_change_left"": 214, ""stop"": 66}",0,0,[],[],0,[],[],41,0,41,0
plcbf,7,35,"[[79.90569393078857, ""middle""]]",4,True,False,True,False,False,False,False,False,False,True,True,158,153,14.13536135843815,14.26729210652411,14.848550409078598,33.425166038796306,0.7658227848101266,553.3665557788014,5398.051898036126,4,"{""lane_change_left"": 115, ""stop"": 43}",0,0,[],[],0,[],[],57,0,57,0
plcbf,7,36,"[[79.71762411026859, ""middle""], [81.43230644802807, ""left""]]",4,False,False,False,False,False,False,True,False,True,False,False,280,275,14.465513054112142,14.277625130489469,15.244304155930879,62.07425007596612,0.7785714285714286,118.79954580978081,5477.959633753689,6,"{""lane_change_left"": 204, ""lane_change_right"": 17, ""nominal"": 1, ""stop"": 58}",0,0,[],[],0,[],[],0,0,0,0
plcbf,7,37,"[[80.36027226968336, ""middle""], [82.09648946857473, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.43569786507975,14.405417023226619,15.241970540955663,42.311541037634015,0.75,358.1504293576872,6278.927417896803,10,"{""lane_change_left"": 202, ""lane_change_right"": 31, ""nominal"": 20, ""stop"": 27}",0,0,[],[],0,[],[],41,0,41,0
plcbf,7,38,"[[82.92157900352235, ""middle""]]",4,True,False,True,False,False,False,False,False,False,True,True,162,157,14.844713879416988,14.361332869157195,15.660008694976568,85.89566708542407,0.6172839506172839,548.9614401034528,6298.175052169234,5,"{""lane_change_left"": 102, ""lane_change_right"": 1, ""stop"": 59}",0,0,[],[],0,[],[],51,0,51,0
plcbf,7,39,"[[82.58616209486401, ""middle""], [83.58616209486401, ""right""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.699446304108609,14.335792046040297,15.272912499494852,72.26612512022257,0.7571428571428571,327.7612712040115,6280.909262037727,4,"{""lane_change_left"": 217, ""stop"": 63}",0,0,[],[],0,[],[],43,0,43,0
plcbf,7,40,"[[82.51275143767312, ""middle""], [84.08792910659969, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.47774034162814,14.370958087965846,15.14687507878989,53.93579206429422,0.7714285714285715,325.1536603615977,6268.238240704184,11,"{""lane_change_left"": 204, ""lane_change_right"": 31, ""nominal"": 17, ""stop"": 28}",0,0,[],[],0,[],[],38,0,38,0
plcbf,7,41,"[[80.71998744760465, ""middle""]]",4,True,False,True,False,False,False,False,False,False,True,True,160,155,14.567812063520954,14.38433420844376,15.162149979732929,47.31737496331334,0.775,547.2730237436864,4933.265616480895,6,"{""lane_change_left"": 130, ""lane_change_right"": 1, ""stop"": 29}",0,0,[],[],0,[],[],59,0,59,0
plcbf,7,42,"[[80.00399698665903, ""middle""], [81.00399698665903, ""right""]]",4,False,False,False,False,False,False,True,False,True,False,False,280,275,14.817874775352804,14.387500006705523,15.055683604441583,78.64687498658895,0.7678571428571429,110.22760098842609,4862.834076243606,9,"{""lane_change_left"": 218, ""lane_change_right"": 3, ""nominal"": 2, ""stop"": 57}",0,0,[],[],0,[],[],0,0,0,0
plcbf,7,43,"[[81.51848873136082, ""right""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.965102916414088,14.409540919587016,15.379995596595109,76.78329199552536,0.9357142857142857,28.709487198437667,7998.004270428837,2,"{""lane_change_left"": 279, ""stop"": 1}",0,0,[],[],0,[],[],1,0,1,0
plcbf,7,44,"[[80.59310223871748, ""middle""]]",4,True,False,True,False,False,False,False,False,False,True,True,160,155,14.756305083151787,14.411207986995578,15.166916931048034,75.03974996507168,0.775,547.7156167939372,4872.853054528489,5,"{""lane_change_left"": 127, ""lane_change_right"": 1, ""stop"": 32}",0,0,[],[],0,[],[],59,0,59,0
plcbf,7,45,"[[79.85163277990135, ""right""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.745560583912514,14.38512490130961,15.429253736510873,86.44975000061095,0.9357142857142857,54.415204529459324,7997.729306601909,3,"{""lane_change_left"": 278, ""lane_change_right"": 1, ""stop"": 1}",0,0,[],[],0,[],[],2,0,2,0
plcbf,7,46,"[[79.44962296597032, ""middle""], [78.58520368786326, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,12.217684391547333,14.270709129050374,15.582762495614588,32.231166027486324,0.7607142857142857,322.6948329877587,5898.8962847846815,10,"{""lane_change_left"": 196, ""lane_change_right"": 28, ""nominal"": 16, ""stop"": 40}",0,0,[],[],0,[],[],39,0,39,0
